Date,Open,High,Low,Close,Adj Close,Volume
2023-06-30,123.529999,123.529999,123.339996,123.485001,122.160675,52984
2023-07-03,123.500000,124.139999,123.190002,123.324997,122.002388,39692
2023-07-04,123.320000,123.519997,123.250000,123.415001,122.091423,12402
2023-07-05,123.480003,123.627998,123.209999,123.224998,121.903458,26434
2023-07-06,124.029999,124.029999,122.839996,122.930000,121.611626,24356
2023-07-07,123.000000,123.592003,122.982803,123.235001,121.913353,23693
2023-07-10,124.070000,124.070000,123.129997,123.285004,121.962822,19645
2023-07-11,123.500000,123.500000,123.220001,123.230003,121.908409,33638
2023-07-12,123.360001,123.695801,123.252197,123.650002,122.323906,35211
2023-07-13,124.599998,124.599998,122.489998,122.650002,122.650002,19639
2023-07-14,122.510002,122.860001,122.510002,122.644997,122.644997,14845
2023-07-17,122.919998,122.919998,122.559998,122.735001,122.735001,23435
2023-07-18,122.879997,123.000000,122.809998,123.000000,123.000000,22459
2023-07-19,123.019997,123.610001,123.019997,123.445000,123.445000,69959
2023-07-20,123.580002,123.580002,123.269997,123.300003,123.300003,37090
2023-07-21,123.440002,123.440002,123.166000,123.385002,123.385002,23851
2023-07-24,123.400002,123.680000,123.374199,123.449997,123.449997,27827
2023-07-25,123.260002,123.540001,123.260002,123.410004,123.410004,23729
2023-07-26,123.949997,123.949997,123.139999,123.195000,123.195000,47630
2023-07-27,123.360001,123.424301,123.183701,123.290001,123.290001,37678
2023-07-28,123.120003,123.460800,123.120003,123.370003,123.370003,49548
2023-07-31,123.599998,123.839996,123.239998,123.339996,123.339996,29485
2023-08-01,123.430000,123.762001,123.190002,123.254997,123.254997,38826
2023-08-02,122.699997,123.444000,122.699997,123.339996,123.339996,31770
2023-08-03,123.360001,123.739998,123.317497,123.474998,123.474998,53220
2023-08-04,123.309998,123.720001,123.309998,123.610001,123.610001,58525
2023-08-07,123.760002,123.760002,123.379997,123.535004,123.535004,41430
2023-08-08,123.769997,123.841461,123.529999,123.529999,123.529999,16233
2023-08-09,123.599998,123.704514,123.500000,123.635002,123.635002,18327
2023-08-10,123.489998,123.853996,123.489998,123.690002,123.690002,25343
2023-08-11,123.500000,123.709999,123.290001,123.379997,123.379997,28402
2023-08-14,123.489998,123.489998,123.250000,123.279999,123.279999,17030
2023-08-15,123.500000,123.500000,123.050003,123.224998,123.224998,13041
2023-08-16,123.010002,123.892052,123.010002,123.160004,123.160004,19981
2023-08-17,123.089996,123.139999,122.879997,122.904999,122.904999,20396
2023-08-18,123.099998,123.424622,123.028603,123.139999,123.139999,26861
2023-08-21,123.129997,123.239998,122.970001,123.000000,123.000000,46069
2023-08-22,123.150002,123.239998,123.050003,123.160004,123.160004,16704
2023-08-23,123.180000,123.790001,123.180000,123.639999,123.639999,27980
2023-08-24,123.730003,123.940002,123.690002,123.785004,123.785004,31234
2023-08-25,123.820000,123.830002,123.580002,123.730003,123.730003,16900
2023-08-29,123.800003,123.860001,123.559998,123.860001,123.860001,41535
2023-08-30,123.949997,123.949997,123.750000,123.889999,123.889999,40361
2023-08-31,124.989998,124.989998,123.849998,124.089996,124.089996,82985
2023-09-01,124.040001,124.300003,124.040001,124.114998,124.114998,47821
2023-09-04,124.190002,124.190002,123.974701,123.985001,123.985001,27143
2023-09-05,124.089996,124.089996,123.854401,123.930000,123.930000,34152
2023-09-06,124.040001,124.040001,123.769997,123.879997,123.879997,115301
2023-09-07,123.980003,124.199997,123.900002,124.139999,124.139999,18650
2023-09-08,124.559998,124.559998,124.220901,124.404999,124.404999,19586
2023-09-11,124.379997,124.379997,124.199997,124.245003,124.245003,26662
2023-09-12,124.360001,124.550003,124.330002,124.480003,124.480003,19682
